id,title,text_self,description,agenda,reception,collaborations,publications,org_form,org_struct,legal_struct,finance,notes,website_urls,archive_repo,from_date,from_trunc,until_date,until_trunc,cantons,radval_1,radval_2,radval_3,radval_4,radval_5,radval_6,radval_7
176,Marbriers 4,,,,,,,,,,,,http://marbriers4.ch,,2012-01-01,0,,0,GE,0,0,0,0,0,0,0
177,Picto,"«L'association Picto est un artist run space situé dans le quartier de la Servette. Elle accueille environ 80 membres dans ses locaux. Une mixité qui regroupe des associations, artistes et artisans actifs dans l'art plastique, le design, le cinéma, la danse, le théâtre et la musique. Elle est non seulement un espace de recherche et de production mais aussi un lieu de diffusion de culture.

Outre les diverses activités exercées par ses membres, plusieurs projets tournés vers le quartier et la scène culturelle genevoise y sont également organisés. Picto propose ainsi une résidence curatoriale dans son espace d'art «Topic», deux résidences artistiques par année à l'attention d'artistes ou de designers et encore les projets Hors-Cases, qui comportent des interventions artistiques sur les façades du bâtiment, un jardin collectif, une façade végétalisée, la mise à disposition d'un four céramique et le projet 1piece Gallery.

L'association Picto s'est créée en été 2008, suite à la fermeture du site d'Artamis. Elle bénéficie d'un contrat de bail avec l'État de Genève pour la location du bâtiment sis au 28/30 Ernest-Pictet et en assure la gestion. L'association est composée de l'ensemble des artistes présents sur le site. Un comité de représentants des ateliers se réunit régulièrement et s'occupe des affaires courantes.»
(Quelle: http://espacepicto.ch/association/, Zugriff vom 29.05.2018)",,,,,,Organisation,,Verein,"Unterstützungsgelder von der Lotterie Romande, Sachleistungen vom Kanton Genf.",,,,2008-01-01,2,,0,GE,1,3,3,1,1,4,2
178,Réunion,"We combine, condense and convert curatorial field research and experimental art production. It's collaboratively run by Random Institute, Le Foyer, Wagner & Friends, Andrea Staudacher, and ECAL.",,"Sweat Cube: «The geometric wooden construction, built in the garage of Réunion, is a fully functional sauna and a system for collecting sweat conceived by Marcel Meury. Visitors are invited to relax in the sauna, whereas the organic result of their (passive) efforts is carefully collected and frozen for conservation and further use by the artist.»
(Quelle: https://reunion.la/Projects-Zurich, Zugriff vom 09.07.2018)

Office for Everything: «The Office for Everything was a one year long theoretical and practical analysis of the relationship between art and work, work and life, art and life.

Open Tuesdays from 2-10pm, the Office for Everything consisted of the presence of Marcel Meury, a chair and a table. Whenever the office was closed the furniture was lifted to the ceiling. There were no other provisions.»
(Quelle: https://reunion.la/Projects-Zurich, Zugriff vom 09.07.2018)",,"ECAL, Andrea Staudacher, Bühler/Wädi, Tanzhaus Zürich, Le Foyer and Motto Distribution",,Gruppe,,,,"An der Müllerstrasse 57 befand sich ursprünglich die Galerie 'Schauorte Christiane Büntgen', Andreas Wagner assistierte dort. Als Büntgen den Raum aufgeben wollte, ergriff Wagner die Initiative ihn mit Freunden weiterzubetrieben. Büntgen war anfangs als Kollaborateurin mit dabei, stieg später aus.",https://reunion.la/Projects-Zurich,,2013-08-01,1,2017-06-01,1,ZH,1,3,2,3,1,4,3
179,"Galerie Baviera, Schulze & Baltensberger",,,,"Wird von Schenker 1981 in Abgrenzung zu jüngeren «nicht kommerziellen Galerien» gesehen, da zwar ähnlich, aber doch «dem Geist der 68er-Bewegung» verpflichtet.
(Quelle: Christoph Schenker, ""Treibhäuser junger Kunst. Nicht-kommerzielle Galerien geben der Ästhetik des Widerstands Raum"", in: Zeitlupe, 13.12.1981, [o. A.], Privatarchiv Eric Hattan, o. S.)",,,,,,,,,,,0,,0,ZH,0,0,0,0,0,0,0
180,Ausstellungsraum 25,"«ausstellungsraum 25 ist ein unabhängiger Kunstort für junge zeitgenössische, hauptsächlich, aber nicht ausschliesslich schweizerische Kunst. Das Ziel ist es, junge Kunstschaffende in das aktuelle Kunstgeschehen der Schweiz einzuglie­dern und ihre Arbeiten durch sorgfältige Planung und sensible Präsentation der Öffentlichkeit, den kulturell Engagierten sowie auch den Institutionen vorzustellen und bestmöglich zu vermitteln. Im Vordergrund steht die Zusammenarbeit mit den Künstlern und die Vermittlung. Grundsätzlich geht es uns um die Kunst. Wir setzen alles daran, effizient und professionell mit junger Kunst umzugehen, und streben darauf hin, ein grösseres Bewusstsein für junge Kunst in unserer Gesellschaft zu schaffen. Wir vertreten fest den Glauben, dass zeitgenössische Kunst sich nicht durch eine einzige Kunstform definieren lässt, sondern sich gerade durch die Vielzahl von Medien in der Kunst ausdrückt. Dieser Überzeu­gung folgt das Konzept unseres Raumes: ausstellungsraum 25 - der Name deutet darauf hin - macht es sich zur Aufgabe, möglichst viele verschiedene Kunstfor­men ins Programm zu integrieren. Dazu ist hinzuzufügen, dass das Ausstellungs­programm ohne kommerziellen Hintergrund aufgebaut wird und nur durch das seriöse Schaffen des Künstlers und dessen Aussage, Sprache oder Position in der aktuellen Kunst ausgewählt wird. Im Jahresprogramm findet man bei jeder Aus­stellung eine andere Kunstform vor, mal ist es Malerei, mal Installation, gefolgt von Fotografie, Skulptur, Mixed-Media, Ton, Video oder Performance. Jedes Jahr im Sommer findet in den Ausstellungsräumen ein Festival statt; das Medium, welches nicht im Jahresprogramm Platz gefunden hat, wird zum Thema ge­macht. Im ersten Jahr veranstalteten wir ein Performance-Festival, 2004 haben wir Video und Kurzfilme hervorgehoben, und 2005 planen wir, für Ton-Arbeiten ein besonderes Augenmerk zu schaffen.»
(Quelle: Raum für Räume. Interlokal – eine Ausstellung in der Shedhalle Zürich, hg. und kuratiert von Nüesch, Susanna, Roth, Barbara und Senn, Martin, Ausst.-Kat. Zürich: Shedhalle, 2005. S. 148-149)",,,"Die Kunstkritikerin Suzanne Kappeler bezeichnet den Ort als «experimentelle Galerie», die Namen wie David Renggli, Peter Stoffel, Daniel Robert Hunziker oder Christian Andersen entdeckte
(Quelle: Suzanne Kappeler, «Vom Kunstraum zur Galerie. Fusion Kenworthy-Ball und Lange+ Pult». In: Neue Zürcher Zeitung, 13.05.2009)

«Kenworthy stellt den Raum jungen Kunstschaffenden zur Verfügung, wobei sie ein spezielles Augenmerk auf das Zürcher Geschehen hat. Ihre Vorliebe für das Dreidimensionale erfüllt die zweite Ausstellung in allem: Der junge Zaccho Zilioli hat die Decken und Wände mit seiner Kunst besprayt. Ein flüchtiges Kunstwerk, das am Ende der Ausstellung wieder übermalt wird. Meta Kenworthy, die für ihre Galerie die Erbschaft einer Künstlerin aufzehren wird, hat Zilioli im sogenannten Künstlerhaus entdeckt.»
(Quelle: Daniele Muscionico, «Die Kunst-Komplizen. Die lokale Kunst-Avantgarde (er)findet neue Räume». In: Neue Zürcher Zeitung, 06.12.2002, S. 44)

Raum findet auch Erwähnung in: Alexander Marzahn, „Wer wagt, verliert. Galerien haben es in Basel schwer – Kunstboom hin oder her“. In: Basler Zeitung, 29.08.2008, S. 5)",,,Team,,,2008 erhielten sie den Kunstpreise der Stadt Zürich.,,,,2002-08-01,0,2009-01-01,0,ZH,1,4,1,1,1,1,1
181,Kunstnovember Winterthur,,,1994 realisierte sie ihre Installation «INTIMITA» im Kunstnovember.,"Werden erwähnt im Rahmen der Inventar-Ausstellung im Helmhaus, 1995.",,,,,,,Hess und Köfer lernten sich im Kunstnovember kennen und gründeten im Jahr 2000 das Künstlerduo köfer / hess.,,,1992-01-01,0,1992-01-01,0,ZH,0,0,0,0,0,0,0
182,Hotel,,,,"«Sechs Künstler und Künstler:innen gründeten im Februar 1997 als Direktorenteam das Hotel (vormals Bildraum-Galerie). Diese Institution funktioniert auch operationell wie ein billiges Hotel: Der Aufenthalt ist temporär, die Atmosphäre privat und das Programm offen. Hotel ist zugleich Küstlergruppe, Label, Dokumentationsstelle und Galerie.»
(Quelle: Michelle Nicol: «Vo Lozärn gäge Wäggis zue. Reiseführer durch 104 zeitgenössische Kunsträume der Schweiz». In: Freie Sicht aufs Mittelmeer, Kat. Ausst. Zürich: Kunsthaus Zürich, 1998, S. 106)

«Hotel war eine Plattform für Vorschläge zur zeitgenössischen Kunst. Es sollten kurzfristige und spontane Projekte möglich sein, gleichzeitig versuchte man mit einer gewissen Regelmässigkeit (Ausstellungsbetrieb, Öffnungszeiten), einen dauerhaften Ort zu etabliere»
(Quelle: Raum für Räume: interlokal - eine Ausstellung in der Shedhalle Zürich, herausgegeben und kuratiert von Susanna Nüesch ... [et al.], Zürich: Shedhalle, 2005, S.139).

«Das Hotel Kunstraum ist eine alternative, nicht kommerzielle Galerie, getragen von Sponsorengeldern, öffentlichen Subventionen und der Gratisarbeit von David Bosshard, Christina Hemauer, Oliver Kielmayer, Christian Vetter, Ella Weber und Bettina Wilhelm.»
(Quelle: Monika Gold, ""Künstlertapeten ""im Hotel"": die Zürcher Galerie ""Kunstraum Hotel"" stellt 22 Künstlertapeten vor : eine verpasste Chance"", in: Hochparterre, 12, 1999, S. 24)",,,Freundeskreis,,,,,,"Privatarchiv Christina Hemauer, Zürich (Dokumentationen, Protokolle)",1997-02-01,0,1999-07-01,0,ZH,1,3,2,3,2,2,3
183,KLINIK,"«Eine ehemalige Villa mit Garten und Nebenhaus mitten in der Stadt Zürich, spä­ter Spital und danach Ausbildungszentrum einer Bank, war Plattform wechseln­der Aktivitäten mit Ausstellung, Events und Bar. Alle Aktivitäten wurden als Teil des Gesamtkonzeptes dieses ephemeren Ortes verstanden.»
(Quelle: “Chronologie. Off-Space-Kunsträume”, in: Susanna Nüesch, Barbara Roth, Martin Senn (Hrsg.), Raum für Räume. Interlokal – eine Ausstellung in der Shedhalle Zürich, Zürich: Shedhalle, 2005, S. 141).

«Morphing Systems war eine sich ständig wandelnde Ausstellung von zeitgenössischer Kunst. Die Werke sollten sich dabei auf den Ort, das Haus und das Bestehende beziehen. Die Ausstellungsentwicklung wurde als Teil der Idee von 'Morphing Systems', einem System im Wandel thematisiert. Morphing Sys­tems war eine Vorgehensweise, ein Prozess mit den beteiligten Personen und der Auseinandersetzung mit einer Vorgehensweise. Dieses System von reaktivem Ausstellen bildete ein Netzwerk mit dessen Entwicklungsspuren. Die evolutiven Entwicklungsschritte und deren Spuren über die Zeit wurden ablesbar. Vorbilder dazu waren selbstgenerierende Systeme, deren Verlauf unvorhersehbar ist. Die 105 Kunstschaffenden, meist aus der Schweiz, waren aufgefordert, zusammen mit der Projektleitung den Ort ihrer Intervention auszusuchen und das beste­ hende System zu transformieren. Es bestand die Möglichkeit, eine Künstlerin oder einen Künstler seiner Wahl als Nachfolge oder Reaktion auf die eigene Arbeit einzubeziehen. Dadurch wurden vorhandene Arbeiten durch andere ab­ gelöst, ergänzt oder transformiert.
(Quelle: KLINIK/Morphing Systems (Hrsg.), Morphing, Zürich: Edition Patrick Frey, 2000, S. 169)
Morphing Systems ist eine sich ständig wandelnde Ausstellung zeitgenössischer Kunst. Die Werke sollen sich dabei auf den Ort, das Haus und das Bestehende beziehen. Die Ausstellungsentwicklung selber wird thematisiert und ist Teil des Morphing System, des Arbeitens mit den beteiligten Personen. Dieses System von reaktivem Ausstellen bildet ein Netzwerk mit Entwicklungsspuren. Die evolutiven Entwicklungssschritte, die Spuren der Zeit, werden ablesbar. Vorbilder sind selbstgenerierende Systeme, deren Verlauf unvorhersehbar ist. DIe Kunstschaffenden werden aufgefordert, zusammen mit der Projektleitung den Ort ihrer Intervention auszusuchen und das bestehende System zu transformieren. Es besteht die Möglichkeit, eine Künstlerin oder einen Künstler eigener Wahl zu bestimmen und als Nachfolge oder Reaktion auf die eigene Arbeit einzubeziehen. Dadurch werden vorhandene Arbeiten durch andere abgelöst, ergänzt oder transformiert. DIe KLINIK, eine ehemalige Villa mit Garten und Nebenhaus mitten in der Stadt Zürich, später Spital und danach Ausbildungszentrum einer Bank, wird als Plattform wechselnder Aktivitäten mit Ausstellung, Events und Bar genutzt. Alle Aktivitäten sind Teil des Gesamtkonzepts dieses ephemeren Ortes.


EC-Bar – Exchange & Communication. Kunst- und Musikbar. Ein Projekt von Regula Michell und Markus P. Kenner. Absicht: 1. Raum schaffen, wo Kunst zusammen mit Musik ausserhalb von Galerien und Museen genossen werden kann. 2. Raum schaffen, wo Kunst besprochen, diskutiert und befragt werden kann, ohne steifes Künstlergespräch/-diskussion. 3. Raum schaffen, wo sich unterschiedliche Szenen treffen und mischen können. 4. Raum schaffen, welcher offen ist für spontane Aktionen (Es wird nicht Monate, Jahr im Voraus geplant). 5. Raum schaffen ohne fixen Standort, ohne eigenes Lokal (die ec-bar kann überall auftauchen). 6. Raum schaffen, wo ganz unterschiedliche und gegensätzliche Positionen der Kunst Platz finden. 7. Raum schaffen, wo Risiken eingegangen werden können (Fehler sind erlaubt). 8. Raum schaffen, wo die Musik zentrale Rolle spielt. Vom DJ Markus P. Kenner live gespielt und speziell zusammengestellt für den jeweiligen Abend, die jeweilige Aktion (Kreieren einer Atmosphäre zur Förderung des Kunstgenusses»
(Quelle:Regula Michell, ""EC-Bar – Exchange & Communication"", in: KLINIK/Morphing Systems [Hrsg.], Morphing Systems, Zürich: Edition Patrick Frey, 2000, S. 105.)",,"«Im Sommer 98 wurde ich auf ein Kunstprojekt aufmerksam: in einem ehemaligen Krankenhaus im Enge-Quartier hatte ein Trio von Kunstschaffenden die Absicht, für ein halbes Jahr eine Non-Stop-Ausstellung mit dem Titel 'Morphing Systems' zu realisieren. Neben den KünstlerInnen, die angefragt werden sollten, waren auch Veranstaltungen und Beiträge von nicht unmittelbar Kunst produzierenden Leuten gefragt. Ich traf mich vor der Eröffnung der KLINIK mit Teresa Chan und sie überzeugte mich, im Laufe der nächsten Monate ein Programm mit Musik und Filme zusammenzustellen. Dafür sprach nicht zuletzt, dass die KLINIK mit ihren Vernissagen und Veranstaltungen innerhalb kürzester Zeit zu einem beliebten Treffpunkt wurde. Im September und Oktober fanden drei Abende statt, die audio-visuelle Experimente zeigten.»","«Zur Zeit, als die KLINIK schon populär war, hörte ich im Autoradio, dass DRS 3 die KLINIK als Ausgehtip brachte [&] In meinem Bekanntenkreis hörte ich auch: 'Es ist immer voll, du kommst kaum mehr rein.' Das war dann auch ein Grund, warum ich nie in die KLINIK gegangen bin [&] Speziell in der KLINIK war auch, dass viele Leute involviert waren und so ein 'gewaltiger Schneeballeffekt' erzeugt wurde [&] In eine 'seriöse' Kunstinstitution wäre eine solche Ausstellung sicher nicht übertragbar.»
(Quelle: Peter Kilchmann in KLINIK/Morphing Systems 2000)","Die EC-Bar fand 1997-1999 neben der KLINIK (1998) auch in Vilnaus, Litauen in einem Wohnatelier, in der Basler Galerie Margit Gass sowie während den Ateliertagen der Berner KünstlerInnen in der Stadtgalerie statt. Die EC-bar wurde in der Ausstellung «Gameover» im Museum für Gestaltung (1999) eingesetzt. 

Verbindungen zur Wolgroth, da mindestens 20 KünstlerInnen der Besetzung auch wieder beim Morphing-Projekt involviert waren.
(Quelle: Michael Guggenheim, „Coming of Age in der Klinik“, in: KLINIK/Morphing Systems (Hrsg.), Morphing, Zürich: Edition Patrick Frey, 2000)","KLINIK/Morphing Systems (Hrsg.), Morphing, Zürich: Edition Patrick Frey, 2000.",Team,,Verein,,,,"Privatarchiv Teresa Chen, Zürich (Ausstellungstexte) 

Kontaktsummary Teresa Chen, 01.02.2016 / GF",1997-01-01,0,1998-01-01,0,ZH,2,3,3,4,1,3,3
184,Kunstkammer der AZB,"«Vor 25 Jahren, als Heinz Niederer die AZB (Arbeitsgemeinschaft Zürcher Bildhauer im Gaswerk Schlieren) gründete, hat er in den Statuten, »die Förderung der bildhauerischen Kultur« als Ziel des Vereins festgeschrieben, neben dem primären Zweck der Inbetriebnahme und Sicherung von erschwinglichen Arbeitsplätzen mit gemeinsamer Infrastruktur. Dieser Forderung wurde auch nachgelebt, mit der gemeinsamen Teilnahme an der Zürcher Kunstszene Ausstellungen und dem Ausrichten von eigenen AZB Ausstellungen [...] und, last but not least, mit der AZB Kunstkammer bei den Arbeitsplätzen an der Limmat. [Hier] wurde ein neues, intimes Skulpturenzentrum geschaffen. Die Kunsthistorikerin Kathrin Frauenfelder, die wir glücklicherweise für zwei Jahre als Kuratorin der Kunstkammer gewinnen konnten, hat mit ihrer Ausstellungsreihe FokusSkulptur* bildhauerische Positionen in die AZB eingebracht und zu raumbezogenen Installationen angeregt, die auch innerhalb der Arbeitsgemeinschaft gegensätzlich aufgenommen wurden, und die zu einem sehr intensiven Austausch zwischen den AZB Mitgliedern geführt haben...»
(Quelle:Jürg Altherr, [o.A.], in: Kathrin Frauenfelder (Hrsg.), FokusSkulptur* Eine Folge von 8 Ausstellungen und 8 moderierten Gesprächen, Zürich: Arbeitsgemeinschaft Zürcher Bildhauer, 2009)",,Projekt: FokusSkulptur* (2007/2008): Eine Folge von 8 Ausstellungen und 8 moderierten Gesprächen kuratiert von Kathrin Frauenfelder. mit: René Odermatt; Aldo Mozzin; Christian Kathriner; Anna-Maria Bauer; Lutz & Guggisberg; Wiedemann/Mettler; Ursula Hirsch; Philippe Winninger; mit den ModeratorInnen: Kathrin Frauenfelder; Dominique von Burg; Sibylle Omlin; Martino Stierli; Fanni Fetzer.,,,"Kathrin Frauenfelder (Hrsg.), FokusSkulptur* Eine Folge von 8 Ausstellungen und 8 moderierten Gesprächen, Zürich: Arbeitsgemeinschaft Zürcher Bildhauer, 2009, [o.S.].",,"Ausstellungsraum der Arbeitsgemeinschaft Zürcher Bildhauer. 
Gastkuratorin 2007/2008: Katrin Frauenfelder",,"Für «FokusSkulptur*»: Kulturfonds AZB, Stadt Schlieren, Fachstelle Kultur Kanton Zürich, Präsidialabteilung der Stadt Zürich, Stiftung Kunstsammlung Albert und Melanie Rüegg, Georges und Jenny Bloch Stiftung, Ernst Göhner Stiftung, Steo Stiftung 

sowie Materialsponsoring von:
Walter Maurer, Waterjet AG, Aarwangen, Firma Küchler AG, Holzwerkstoffe, Schlieren, Permabond Little Bus Reisen Dietikon, Dangel Holzbau Adliswil, u.a.",Vorgänger der Kunsthalle Schlieren.,https://www.plastiker.ch,"Privatarchiv, Kathrin Frauenfelder (Katalog und Archivbestände zu FokusSkulptur*) bei Katalog und Archivbestände zum beschriebenen Projekt sind zugänglich. Anfragen an: kathrin.frauenfelder@bluewin.ch",1984-01-01,0,2017-01-01,0,ZH,0,0,0,0,0,0,0
185,PRODUGA,,,,,,,Organisation,,Genossenschaft,,"Wird von Schenker 1981 in Abgrenzung zu jüngeren ""nicht kommerziellen Galerien"" gesehen, da zwar ähnlich, aber doch ""dem Geist der 68er-Bewegung"" verpflichtet.
(Quelle: Christoph Schenker, ""Treibhäuser junger Kunst. Nicht-kommerzielle Galerien geben der Ästhetik des Widerstands Raum"", in: Zeitlupe, 13.12.1981, [o. A.], Privatarchiv Eric Hattan)

""Die von der Produga visuell und ideologisch angestrebte Verknüpfung von Kunst und Politik ist das Thema der vorliegenden Lizentiatsarbeit und fungiert gleichsam als Bindeglied zwischen den von mir gestellten Fragen, welche die verschiedenen Dimensionen einer künstlerisch-politischen Praxis der Produga in der Eigenbeschreibung und Umsetzung ausloten sollen. Dargelegt wird, ob und wie das Galeriekollektiv sein künstlerisches Schaffen und seine politischen Anliegen zu einen vermochte, und wie die Kunst als konkretes Mittel der politischen Mobilisation eingesetzt wurde. Die Debatten und Argumentationsmuster der Galerie sollen beleuchtet und ihr Agieren im zeithistorischen Kontext der Neuen Sozialen Bewegungen der späten 60er und 70er Jahre verortet werden. Aufzeigen möchte ich, welche Funktion und welche Aufgabe gemäss der Produga die Kunst – und analog dazu die Künstlerin und der Künstler – in der Gesellschaft innehaben. Analysiert werden das Kunstverständnis und der Kunstbegriff des Galeriekollektivs und die – im Sinne der Produga – an diese Auslegung gekoppelte adäquate künstlerische Ausdrucksform. Weiter werde ich mich mit dem Selbstverständnis der Galeriemitglieder als Kunstschaffende auseinandersetzen und die Struktur, die Arbeitsweise und die angestrebte Positionierung der Galerie als autark funktionierende alternative Vertriebsform für linke Kunst betrachten und hinterfragen. Basierend auf diesen Fragestellungen ist es meine Intention, den Denkhorizont des Galeriekollektivs zu skizzieren, dessen Grenzen auszuloten und dessen Eigenschaften aufzuzeigen.""
(Quelle: Gioia Dal Molin, ""Kunst ist nicht dazu da, um den harten Alltag zu verschönern. Wir analysieren diesen Alltag."" Kunst und Politik. Die Zürcher Produzentengalerie 'Produkt', (Kunsthistorisches Institut, Bd. Lizentiat), Zürich: Universität Zürich, 2009, S.4-5)",,,1974-01-01,0,1974-01-01,0,ZH,1,3,1,4,1,3,2
186,H2Art,"«The H2Art brainchild of the Swiss sculptor Marc Moser. The exhibition project was realized in 2009 and 2010 in collaboration with the photographer Rainer Bolliger, the painter Hans Peter Marschner (2009) and the carpenter Stefan Philippi in Arbon, on the Swiss shore of Lake Constance. After the group dissolved. A further exhibition was organized in 2011 under the title H2Art by Philippi, however, was far from the original concept.
This website will continue out of respect for the artists, whose works are conjured for a short time a highlight on the lakeshore. Thanks, Marc Moser, Rainer Bolliger»
(Quelle: http://h2art.ch/, Zugriff vom 31.07.2018)",,,"«Dichtegedrängt stehen und sitzen mehrere hundert Personen an und auf der Hafenmauer und starren auf den See. Dort tanzen und räkeln sich zur Livemusik auf einer viermal fünf Meter grossen Plattform Anja Zweifel und Andrea Benz-Bandschupp und der holländische Tänzer Alex Honbé der Tanzcompany FAA-Zone aus Winterthur.»
(Quelle: Rudolf Steiner, „Die Kunst geht für einmal baden“, in: St. Galler Tagblatt, 25.08.2010, S. 38. SIK Kunstarchiv [TG_Arbon_2011_H2Art_St. Galler Tagblatt_25.08.2010_S. 38])",,,,,,,,http://h2art.ch/,"SIK-ISEA-Kunstarchiv, Zürich, Register ""AARB – Basel Museen I"", Folder ""Arbon"" (Zeitungsartikel)",2009-01-01,0,2011-01-01,0,TG,0,0,0,0,0,0,0
187,KASSETTE . für projekte .,"«Die »KASSETTE für projekte« war ein nicht kommerzieller Kunst- und Kulturraum am Zürcher Pfauen, ein Veranstaltungs- und Diskussionsort, sowohl für das Quartier Hottingen als auch für Interessierte in und ausserhalb Zürichs. Schwerpunkte lagen im Bereich Ausstellungen, Aktionen, Installationen, Lesungen und Workshops. Während Ausstellungen oder in der Vorbereitungszeit der Ausstellungen wurde das Programm mit punktuellen Anlässen aus verschiedenen kulturellen Sparten ergänzt. Es wurden Workshops, Retraiten, Vorträge, Lesungen, und Debatten durchgeführt. Die «KASSETTE für Projekte» konzipierte eigene Veranstaltungen und solche in enger Zusammenarbeit mit Künstlerinnen und Künstlern sowie anderen Kulturträgern. Die «KASSETTE für projekte» besteht weiterhin als Verein, der zurzeit pausiert, die eigenen Aktivitäten überdenkt, nach vorne schaut und sich wieder melden wird.»
(Quelle: http://www.die-kassette.ch/about/, Zugriff vom 31.07.2018)

«Ein Ort der Auseinandersetzung, des Austauschs und der Meinungsbildung zu kulturellen Themen.»
(Quelle: Retourniertes Factsheet Aufruf, Regula Ehrliholzer, 23.01.2018 [online submission])","«Die «KASSETTE für projekte» befand sich von März 2013 bis April 2017 in den ehemaligen Räumlichkeiten des Pendo Verlags an der Wolfbachstrasse 9 in Zürich. Die denkmalgeschützten Räume befinden sich im Hochparterre eines Wohnhauses mit spätklassizistischen Bauformen aus dem Jahre 1881.»
(Quelle: http://www.die-kassette.ch/about/, Zugriff vom 31.07.2018)","«Der Vereinszweck soll durch Vorträge, Versammlungen, Diskussionsabende, Erfahrungsaustausch, Ausstellungen, Installationen, Interventionen und Workshops erreicht werden. Der Verein schafft alle Voraussetzungen, um die Tätigkeiten im Sinne des Vereinszwecks zu ermöglichen.»
(Quelle: Vereinsstatuen, 2015, Privatarchiv Kassette, (http://www.die-kassette.ch/wp-content/uploads/2015/02/Verein_Kassette_Statuten_2015_11.pdf, Zugriff 31.07.2018)

«Es wurden Workshops, Retraiten, Vorträge, Lesungen, und Debatten durchgeführt.»
(Quelle: Retourniertes Factsheet Aufruf, Regula Ehrliholzer, 23.01.2018 [online submission])",,"«Die «KASSETTE für Projekte» konzipierte eigene Veranstaltungen und solche in enger Zusammenarbeit mit Künstlerinnen und Künstlern sowie anderen Kulturträgern.
- dr/eh: dreh gmbh, Visuelle Kommunikation
- Verband SGD Swiss Graphic Designers (Projektbezogen, war aber als längerfristige -
 Zusammenarbeit geplant – dadurch, dass wir den Raum verlassen mussten, haben wir dies nicht realisieren können)
- NEAR – association suisse pour la photographie contemporaine (Projektbezogen)
- Omanut, Verein für die Förderung jüdischer Kunst in der Schweiz (Projektbezogen)
- «Les Emmeraudes», Zentrum für Vorschulkinder in Burkina Faso
- Zurich/CreativeMornings
- Buchhandlung am Hottingerplatz
- Viele Verlage, etc. (siehe Website: Archiv)
- Art Space Guide»
(Quelle: Retourniertes Factsheet Aufruf, Regula Ehrliholzer, 23.01.2018 [online submission])","«Aus einigen Projekten sind etliche Publikationen hervorgegangen. (-> siehe Archiv: kleine Bucheditionen, Büchleins mit CD, Plakate, Fotoserien, Zeitung, etc.)»
(Quelle: Retourniertes Factsheet Aufruf, Regula Ehrliholzer, 23.01.2018 [online submission])",,"«Der Verein zur Förderung unserer Aktivitäten wurde am 30. Januar 2015 gegründet und bildet nach zweijährigem Engagement von ebenfalls privater Seite die Trägerschaft der KASSETTE.»

«Die Vorstandsmitglieder arbeiten ehrenamtlich und sind gemeinsam für die Programmation, Kuratierung, Organisation, Durchführung der Veranstaltungen und Ausstellungen zuständig. Ein Vorstandsmitglied übernimmt zusätzlich die buchhalterischen Aufgaben. Freiwillige Hilfe gab es aus dem Quartier, von Mitgliedern der KASSETTE, von den an Projekten beteiligten Personen.»

(Quelle: Retourniertes Factsheet Aufruf, Regula Ehrliholzer, 23.01.2018 [online submission])",Verein,"Erhalten gemäss Webseite Gelder vom Migros Kulturprozent, Georges und Jenny Bloch-Stiftung, Stadt Zürich.
(Quelle: http://www.die-kassette.ch/about/, Zugriff vom 11.01.2019)

«Persönliche Mittel, Mitgliederbeiträge, Mäzene. Projektunterstützung durch öffentliche Hand, Stiftungen, Unternehmen (Migros).
Einnahmen aus Eintritten und Verkäufen: vernachlässigbar. 
Aufwand: absolut grösster Posten war die Miete. Löhne wurden/werden keine ausbezahlt.
Weitere Aufwände: Werbung und Produktion (bei Projekten).
Die Miete ausgenommen, haben sich Einnahmen und Ausgaben die Waage gehalten.»
(Quelle: Retourniertes Factsheet Aufruf, Regula Ehrliholzer, 23.01.2018 [online submission])",,http://www.die-kassette.ch/,"""Siehe umfassendes und vollständiges Archiv auf: http://www.die-kassette.ch/archiv/
- Ausstellungsdokumentationen
- Dokumentation kuratorischer Entwürfe
- Raummodell
- Fotografische Dokumentation (teilweise auf Website veröffentlicht)
- Prototypen für Editionen
- Gesuche und Protokolle aller Vorstandssitzung 
- sämtliche Archivbestände am Sitz des Vereins""
(Quelle: Retourniertes Factsheet Aufruf, Regula Ehrliholzer, 23.01.2018 [online submission])",2013-03-01,0,2017-04-01,0,ZH,0,0,0,0,0,0,0
188,Küchenausstellung,,,"«Das Zürcher Künstlerduo Fischli/Weiss hatte Vorratsdosen in Obrists Küchenschrank nach ästhetischen Kriterien neu organisiert. Dabei stellt sich die Frage, wo denn die künstlerische Intervention überhaupt eingesetzt hatte. Dies ist gerade bei Interventionen in privaten Räumen tatsächlich oft schwieriger zu beurteilen als in Kunstmuseen»
(Quelle:Peter Stohler, Daniel Walser, „Kunst im Un-Privaten. Das ‚un-private’ Zuhause als öffentlicher Ausstellungsort“, in: Peter Stohler (hrsg.), Kunst im Un-Privaten, Zürich: Edition Fink, 2004, S. 10).",,,,,,,,,,,1991-01-01,0,1991-01-01,0,SG,0,0,0,0,0,0,0
